======================================================================
GOLDILOCKS ZONE: Top 10 Flourishing Configurations
======================================================================

Default config scores: 0.5924

Rank  Flourish  steering_strength    alpha_pull  fatigue_rate  exploration_noise    beta_macro
----------------------------------------------------------------------
   1    0.8101        0.8000        0.0667        0.2000        0.1714       15.0000
   2    0.8094        0.8000        0.0167        0.2333        0.2000        4.6429
   3    0.8087        0.4591        0.0333        0.2000        0.2000       15.0000
   4    0.8086        0.7318        0.0167        0.2667        0.2000       12.9286
   5    0.8031        0.3909        0.0333        0.2333        0.2000        2.5714
   6    0.8015        0.4591        0.1333        0.2000        0.2000       10.8571
   7    0.8014        0.5273        0.0833        0.2000        0.2000        4.6429
   8    0.8011        0.5273        0.0667        0.2000        0.2000        6.7143
   9    0.8008        0.1864        0.0000        0.2000        0.2000        0.5000
  10    0.8007        0.6636        0.0833        0.2000        0.2000       12.9286


Default config: steering_strength=0.3, alpha_pull=0.03, fatigue_rate=0.08, exploration_noise=0.05, beta_macro=4.0
